,dateofshipment,weightofshipment,shipmentinsurrancecost,basevalue,boxtxt,width,length,depth,costtomake,durability,beginstorenumber,beginstoretxt,beginNightLoading,beginAutomation,begininsurracecost,endstorenumber,endstoretxt,endNightLoading,endAutomation,endinsurracecost
190,08/04/21,50.227,3.2165,130,BQ261014,26,10,14,2.64,30,191,TX253191,Yes,Yes,2.3817,281,OK712281,No,No,3.2165
191,02/05/21,21.691,3.2165,143,NC103116,10,31,16,2.31,30,121,OK712121,No,No,1.766,281,OK712281,No,No,3.2165
192,06/10/21,8.617,3.2165,105,EC423810,42,38,10,3.69,21,105,OK712105,Yes,No,2.0155,281,OK712281,No,No,3.2165
193,06/13/21,34.04,3.2165,94,DG282516,28,25,16,2.79,30,139,TX253139,Yes,No,1.4508,281,OK712281,No,No,3.2165
194,07/13/21,13.43,3.2165,120,DG282516,28,25,16,2.79,30,133,TX253133,Yes,No,1.4345,281,OK712281,No,No,3.2165
195,07/04/21,15.623,3.2165,143,FD311219,31,12,19,2.64,23,141,TX253141,Yes,No,1.5247,281,OK712281,No,No,3.2165
196,05/22/21,45.932,3.2165,157,KQ264020,26,40,20,2.92,23,176,NM418176,No,No,2.1468,281,OK712281,No,No,3.2165
197,05/24/21,14.327,3.2165,190,DX301310,30,13,10,3.91,21,140,NM418140,Yes,No,1.4479,281,OK712281,No,No,3.2165
198,01/01/21,6.256,3.2165,123,DA251912,25,19,12,2.36,24,180,NM418180,Yes,Yes,2.5014,281,OK712281,No,No,3.2165
199,10/03/21,29.872,2.342,176,FD311219,31,12,19,2.64,23,131,OK712131,No,No,1.4525,232,TX253232,Yes,No,2.342
200,06/03/21,12.611,2.342,132,DG282516,28,25,16,2.79,30,154,TX253154,No,No,1.6255,232,TX253232,Yes,No,2.342
201,08/14/21,50.355,2.342,173,DM481414,48,14,14,2.56,23,108,OK712108,Yes,Yes,1.4731,232,TX253232,Yes,No,19752.0
202,11/10/21,32.358,2.4187,143,GD341420,34,14,20,2.82,26,144,TX253144,Yes,Yes,2.4187,232,TX253232,Yes,No,2.342
203,07/16/21,39.254,2.342,153,NC103116,10,31,16,2.31,30,193,TX253193,No,Yes,2.0263,232,TX253232,Yes,No,2.342
204,12/24/21,18.502,2.3817,111,MA101120,10,11,20,2.15,22,191,TX253191,Yes,Yes,2.3817,232,TX253232,Yes,No,2.342
205,09/18/21,36.508,2.342,174,GJ331220,33,12,20,3.09,27,124,TX253124,Yes,Yes,1.7142,232,TX253232,Yes,No,2.342
206,04/21/21,17.43,2.342,127,BQ261014,26,10,14,2.64,30,157,OK712157,Yes,Yes,2.0854,232,TX253232,Yes,No,2.342
207,03/20/21,35.472,2.5445,140,DG282516,28,25,16,2.79,30,199,TX253199,Yes,No,2.5445,232,TX253232,Yes,No,2.342
208,09/13/21,28.734,2.342,96,BQ261014,26,10,14,2.64,30,155,OK712155,No,Yes,1.622,232,TX253232,Yes,No,2.342
209,05/24/21,28.053,2.342,95,NC103116,10,31,16,2.31,30,186,NM418186,Yes,No,2.2679,232,TX253232,Yes,No,2.342
210,08/15/21,49.395,2.342,128,DX301310,30,13,10,3.91,21,141,TX253141,Yes,No,1.5247,232,TX253232,Yes,No,2.342
211,03/17/21,11.418,2.342,114,DM481414,48,14,14,2.56,23,128,TX253128,No,Yes,2.183,232,TX253232,Yes,No,2.342
212,08/04/21,30.225,2.1544,164,KQ264020,26,40,20,2.92,23,131,OK712131,No,No,1.4525,211,NM418211,No,No,2.1544
213,04/02/21,20.583,2.1544,178,KH102813,10,28,13,1.21,24,170,NM418170,No,Yes,1.7663,211,NM418211,No,No,2.1544
214,01/22/21,27.993,2.1544,119,DX301310,30,13,10,3.91,21,116,NM418116,Yes,Yes,1.9501,211,NM418211,No,No,2.1544
215,02/09/21,46.536,2.1544,120,EC423810,42,38,10,3.69,21,126,NM418126,No,Yes,1.4989,211,NM418211,No,No,2.1544
216,04/16/21,39.471,2.1544,102,FD311219,31,12,19,2.64,23,110,NM418110,Yes,No,1.4881,211,NM418211,No,No,2.1544
217,09/09/21,11.325,2.1544,168,DX301310,30,13,10,3.91,21,115,TX253115,No,No,1.162,211,NM418211,No,No,2.1544
218,06/23/21,37.38,2.3579,96,DG282516,28,25,16,2.79,30,178,NM418178,Yes,Yes,2.3579,211,NM418211,No,No,2.1544
219,05/01/21,17.441,2.8157,125,KQ264020,26,40,20,2.92,23,131,OK712131,No,No,1.4525,243,NM418243,Yes,No,2.8157
220,08/08/21,23.047,2.8157,194,KQ264020,26,40,20,2.92,23,129,TX253129,No,Yes,1.8218,243,NM418243,Yes,No,2.8157
221,02/16/21,20.624,2.8157,135,GD341420,34,14,20,2.82,26,121,OK712121,No,No,1.766,243,NM418243,Yes,No,84321.0
222,03/14/21,46.773,2.8157,156,KQ264020,26,40,20,2.92,23,124,TX253124,Yes,Yes,1.7142,243,NM418243,Yes,No,2.8157
223,04/04/21,10.268,,120,DX301310,30,13,10,3.91,21,105,OK712105,Yes,No,2.0155,243,NM418243,Yes,No,2.8157
224,10/10/21,9.558,2.8157,153,DG282516,28,25,16,2.79,30,146,NM418146,Yes,No,1.74,243,NM418243,Yes,No,2.8157
225,09/15/21,50.86,2.8157,186,NC103116,10,31,16,2.31,30,118,TX253118,No,No,1.7179,243,NM418243,Yes,No,2.8157
226,05/20/21,44.423,2.8157,192,KH102813,10,28,13,1.21,24,176,NM418176,No,No,2.1468,243,NM418243,Yes,No,2.8157
227,11/12/21,46.363,2.9807,149,QH401919,40,19,19,2.39,26,189,OK712189,No,No,2.68,273,NM418273,Yes,Yes,2.9807
228,02/05/21,33.373,2.9807,113,QH401919,40,19,19,2.39,26,105,OK712105,Yes,No,2.0155,273,NM418273,Yes,Yes,2.9807
229,12/22/21,24.165,2.9807,138,DX301310,30,13,,3.91,21,192,TX253192,No,No,2.1589,273,NM418273,Yes,Yes,2.9807
230,05/16/21,29.692,2.9807,148,DA251912,25,19,12,2.36,24,199,TX253199,Yes,No,2.5445,273,NM418273,Yes,Yes,2.9807
231,02/19/21,39.614,2.9807,135,BQ261014,26,10,14,2.64,30,199,TX253199,Yes,No,2.5445,273,NM418273,Yes,,2.9807
232,02/22/21,33.071,2.9807,144,DA251912,25,19,12,2.36,24,159,OK712159,Yes,No,2.3619,273,NM418273,Yes,Yes,2.9807
233,10/01/21,7.664,2.9807,100,DG282516,28,25,16,2.79,30,181,OK712181,Yes,No,2.5645,273,NM418273,Yes,Yes,2.9807
234,09/30/21,25.915,2.9807,109,EC423810,42,38,10,3.69,21,141,TX253141,Yes,No,1.5247,273,NM418273,Yes,Yes,2.9807
235,09/16/21,28.016,2.9807,162,GD341420,34,14,20,2.82,26,166,NM418166,Yes,Yes,1.7288,273,NM418273,Yes,Yes,2.9807
236,02/19/21,9.613,2.68,159,DG282516,28,25,16,2.79,30,189,OK712189,No,No,2.68,238,NM418238,No,Yes,2.6282
237,05/18/21,49.129,2.68,180,GD341420,34,14,20,2.82,26,189,OK712189,No,No,2.68,238,NM418238,No,Yes,2.6282
238,04/06/21,9.502,2.6282,101,KQ264020,26,40,20,2.92,23,127,NM418127,No,No,1.5802,238,NM418238,No,Yes,2.6282
239,05/08/21,40.326,2.6282,183,QH401919,40,19,19,2.39,26,182,OK712182,No,Yes,2.5084,238,NM418238,No,Yes,2.6282
240,11/01/21,23.191,2.6282,190,QH401919,40,19,19,2.39,26,120,TX253120,No,No,2.0283,238,NM418238,No,Yes,2.6282
241,08/15/21,22.631,2.6282,105,EC423810,42,38,10,3.69,21,134,NM418134,Yes,Yes,1.3619,238,NM418238,No,Yes,2.6282
242,06/24/21,35.132,2.6282,123,EC423810,42,38,10,3.69,21,144,TX253144,Yes,Yes,2.4187,238,NM418238,No,Yes,2.6282
243,07/06/21,26.299,2.6282,184,EC423810,42,38,10,3.69,21,191,TX253191,Yes,Yes,2.3817,238,NM418238,No,Yes,2.6282
244,04/11/21,12.949,2.6282,159,FD311219,31,12,19,2.64,23,114,OK712114,Yes,No,1.9911,238,NM418238,No,Yes,2.6282
245,06/08/21,40.627,2.6522,179,KH102813,10,28,13,1.21,24,195,TX253195,Yes,Yes,2.6522,238,NM418238,No,Yes,2.6282
246,10/12/21,22.033,2.6282,117,GD341420,34,14,20,2.82,26,110,NM418110,Yes,No,1.4881,238,NM418238,No,Yes,2.6282
247,04/21/21,30.806,2.6282,122,MA101120,10,11,20,2.15,22,119,NM418119,Yes,Yes,2.1247,238,NM418238,No,Yes,2.6282
248,10/04/21,30.81,2.6282,96,EC423810,42,38,10,3.69,21,136,OK712136,No,No,1.3875,238,NM418238,No,Yes,2.6282
249,02/07/21,26.126,2.6282,124,KQ264020,26,40,20,2.92,23,143,TX253143,No,Yes,1.9005,238,NM418238,No,Yes,2.6282
250,03/22/21,15.069,2.6282,161,FD311219,31,12,19,2.64,23,113,TX253113,Yes,No,2.0506,238,NM418238,No,Yes,2.6282
251,08/16/21,40.826,2.6282,101,DM481414,48,14,14,2.56,23,130,NM418130,No,No,1.8093,238,NM418238,No,Yes,2.6282
252,11/08/21,14.594,2.6282,195,GD341420,34,14,20,2.82,26,164,TX253164,Yes,No,2.0059,238,NM418238,No,Yes,2.6282
253,03/04/21,36.819,2.6282,158,GJ331220,33,12,20,3.09,27,190,TX253190,Yes,No,1.9432,238,NM418238,No,Yes,2.6282
254,08/20/21,25.186,2.6282,103,DG282516,28,25,16,2.79,30,145,OK712145,No,No,1.8777,238,NM418238,No,Yes,2.6282
255,06/06/21,35.064,3.3317,172,GD341420,34,yt,20,2.82,26,189,OK712189,No,No,2.68,275,NM418275,No,No,3.3317
256,02/03/21,15.809,3.3317,112,KQ264020,26,40,20,2.92,23,187,TX253187,No,No,1.9274,275,NM418275,No,No,3.3317
257,02/14/21,44.868,3.3317,151,DX301310,30,13,10,3.91,21,174,OK712174,No,No,2.4035,275,NM418275,No,No,3.3317
258,06/06/21,34.615,3.3317,181,KQ264020,26,40,20,2.92,23,148,OK712148,Yes,No,2.36,275,NM418275,No,No,3.3317
259,10/16/21,34.672,3.3317,107,DA251912,25,19,12,2.36,24,124,TX253124,Yes,Yes,1.7142,275,NM418275,No,No,3.3317
260,03/12/21,16.086,3.3317,95,DX301310,30,13,10,3.91,21,146,NM418146,Yes,No,1.74,275,NM418275,No,No,3.3317
261,09/18/21,24.768,3.3317,153,DA251912,25,19,12,2.36,24,118,TX253118,No,No,1.7179,275,NM418275,No,No,3.3317
262,12/16/21,48.064,3.3317,96,DA251912,25,19,12,2.36,24,198,NM418198,Yes,No,2.0457,275,NM418275,No,No,3.3317
263,11/13/21,6.779,3.3317,116,GJ331220,33,12,20,3.09,27,171,OK712171,Yes,No,2.4622,275,NM418275,No,No,3.3317
264,04/12/21,49.539,2.853,107,DM481414,48,14,14,2.56,23,189,OK712189,No,No,2.68,213,,No,No,2.853
265,01/04/21,17.471,2.853,99,DA251912,25,19,12,2.36,24,163,NM418163,No,Yes,2.0233,213,OK712213,No,No,2.853
266,03/08/21,44.936,2.853,154,DA251912,25,19,12,2.36,24,172,TX253172,No,Yes,2.4496,213,OK712213,No,No,2.853
267,03/15/21,19.112,2.853,171,MA101120,10,11,20,2.15,22,119,NM418119,Yes,Yes,2.1247,213,OK712213,No,No,2.853
268,07/12/21,15.828,2.853,160,DG282516,28,25,16,2.79,30,100,OK712100,Yes,Yes,1.0142,213,OK712213,No,No,2.853
269,04/18/21,10.527,2.853,112,DX301310,30,13,10,3.91,21,113,TX253113,Yes,No,2.0506,213,OK712213,No,No,2.853
270,01/24/21,42.539,2.853,144,GD341420,34,14,20,2.82,26,185,OK712185,No,Yes,1.8776,213,OK712213,No,No,2.853
271,04/03/21,39.965,2.853,90,DA251912,25,19,12,2.36,24,167,NM418167,Yes,Yes,2.5544,213,OK712213,No,No,2.853
272,04/01/21,39.401,2.853,128,GD341420,34,14,20,2.82,26,104,OK712104,Yes,Yes,1.7396,213,OK712213,No,No,2.853
273,03/15/21,34.476,2.68,184,BQ261014,26,10,14,2.64,30,189,OK712189,No,No,2.68,207,NM418207,No,No,2.5592
274,03/06/21,13.192,2.68,148,KQ264020,26,40,20,2.92,23,189,OK712189,No,No,2.68,207,NM418207,No,No,2.5592
275,03/20/21,43.878,2.5592,179,GD341420,34,14,20,2.82,26,161,NM418161,No,No,2.527,207,NM418207,No,No,2.5592
276,10/06/21,47.302,2.5592,111,KQ264020,26,40,20,2.92,23,174,OK712174,No,No,2.4035,207,NM418207,No,No,2.5592
277,04/11/21,24.538,2.5592,182,KH102813,10,28,13,1.21,24,169,NM418169,Yes,No,1.9873,207,NM418207,No,No,2.5592
278,04/14/21,43.753,2.5592,150,BQ261014,26,10,14,2.64,30,169,NM418169,Yes,No,1.9873,207,NM418207,No,No,2.5592
279,02/10/21,35.054,2.5592,194,GD341420,34,14,20,2.82,26,170,NM418170,No,Yes,1.7663,207,NM418207,No,No,2.5592
280,05/13/21,20.596,2.5592,101,QH401919,40,19,19,2.39,26,129,TX253129,No,Yes,1.8218,207,NM418207,No,No,2.5592
281,04/06/21,12.799,2.6256,155,QH401919,40,19,19,2.39,26,196,NM418196,Yes,No,2.6256,207,NM418207,No,No,2.5592
282,08/22/21,8.194,2.5592,142,GD341420,34,14,20,2.82,26,125,TX253125,No,No,1.3809,207,NM418207,No,No,2.5592
283,09/01/21,42.065,2.5592,179,GD341420,34,14,20,2.82,26,123,TX253123,No,No,1.4704,207,NM418207,No,No,2.5592
284,02/28/21,5.121,2.5592,160,KH102813,10,28,13,1.21,24,185,OK712185,No,Yes,1.8776,207,NM418207,,No,2.5592
285,04/10/21,47.143,2.5592,130,GJ331220,33,12,20,3.09,27,151,TX253151,No,Yes,1.9154,207,NM418207,No,No,2.5592
286,05/22/21,15.02,2.5592,184,FD311219,31,12,19,2.64,23,168,OK712168,No,Yes,2.5057,207,NM418207,No,No,2.5592
287,07/19/21,7.117,2.8215,112,FD311219,31,12,19,2.64,23,189,OK712189,No,No,2.68,208,TX253208,Yes,Yes,2.8215
288,11/11/21,42.265,2.8215,123,FD311219,31,12,19,2.64,23,189,OK712189,No,No,2.68,208,TX253208,Yes,Yes,2.8215
289,10/23/21,49.281,2.8215,133,DG282516,28,25,16,2.79,30,193,TX253193,No,Yes,2.0263,208,TX253208,Yes,Yes,2.8215
290,03/21/21,26.07,2.8215,100,GD341420,34,14,20,2.82,26,121,OK712121,No,No,1.766,208,TX253208,Yes,Yes,2.8215
291,07/14/21,23.774,2.8215,113,QH401919,40,19,19,2.39,26,183,OK712183,No,Yes,2.3069,208,TX253208,Yes,Yes,2.8215
292,07/11/21,8.024,2.8215,193,MA101120,10,11,20,2.15,22,199,TX253199,Yes,No,2.5445,208,TX253208,Yes,Yes,2.8215
293,10/15/21,34.822,2.8215,95,DM481414,48,14,14,2.56,23,175,OK712175,Yes,Yes,2.5327,208,TX253208,Yes,Yes,2.8215
294,02/20/21,17.288,2.8215,192,DX301310,30,13,10,3.91,21,178,NM418178,Yes,Yes,2.3579,208,TX253208,Yes,Yes,2.8215
295,08/13/21,50.043,2.8215,97,DM481414,48,14,14,2.56,23,164,TX253164,Yes,No,2.0059,208,TX253208,Yes,Yes,2.8215
296,12/02/21,34.306,2.8215,155,NC103116,10,31,16,2.31,30,190,TX253190,Yes,No,1.9432,208,TX253208,Yes,Yes,2.8215
297,07/22/21,13.941,2.6911,156,KQ264020,26,40,20,2.92,23,189,OK712189,No,No,2.68,256,OK712256,Yes,No,2.6911
298,01/06/21,32.284,2.6911,159,DG282516,28,25,16,2.79,30,120,TX253120,No,No,2.0283,256,OK712256,Yes,No,2.6911
299,04/23/21,50.246,2.6911,155,GJ331220,33,12,20,3.09,27,172,TX253172,No,Yes,2.4496,256,OK712256,Yes,No,2.6911
300,06/24/21,5.063,2.6911,169,DA251912,25,19,12,2.36,24,193,TX253193,No,Yes,2.0263,256,OK712256,Yes,No,2.6911
301,07/22/21,25.406,2.6911,136,QH401919,40,19,19,2.39,26,101,TX253101,Yes,No,1.1412,256,OK712256,Yes,No,2.6911
302,01/07/21,11.054,2.6911,167,KH102813,10,28,13,1.21,24,192,TX253192,No,No,2.1589,256,OK712256,Yes,No,2.6911
303,05/04/21,43.081,2.6911,121,KQ264020,26,40,20,2.92,23,156,OK712156,No,No,2.0617,256,OK712256,Yes,No,2.6911
304,07/19/21,23.323,3.8192,194,KQ264020,26,40,20,2.92,23,189,OK712189,No,No,2.68,297,TX253297,Yes,No,
305,01/17/21,36.664,3.8192,120,EC423810,42,38,10,3.69,21,122,TX253122,No,No,1.5313,297,TX253297,Yes,No,3.8192
306,05/05/21,28.567,3.8192,107,QH401919,40,19,19,2.39,26,174,OK712174,No,No,2.4035,297,TX253297,Yes,No,3.8192
307,11/16/21,18.905,3.8192,121,NC103116,10,31,16,2.31,30,154,TX253154,No,No,1.6255,297,TX253297,Yes,No,3.8192
308,01/16/21,30.707,3.8192,142,DA251912,25,19,12,2.36,24,134,NM418134,Yes,Yes,1.3619,297,TX253297,Yes,No,3.8192
309,07/09/21,45.058,3.8192,161,GJ331220,33,12,20,3.09,27,144,TX253144,Yes,Yes,2.4187,297,TX253297,Yes,No,3.8192
310,01/23/21,40.833,3.8192,171,KH102813,10,28,13,1.21,24,183,OK712183,No,Yes,2.3069,297,TX253297,Yes,No,3.8192
311,03/11/21,33.712,3.8192,91,KQ264020,26,40,20,2.92,23,194,OK712194,No,Yes,2.4107,297,TX253297,Yes,No,3.8192
312,10/18/21,7.589,3.8192,90,DM481414,13,14,14,2.56,23,162,OK712162,No,Yes,2.0861,297,TX253297,Yes,No,3.8192
313,07/23/21,13.873,3.8192,188,FD311219,31,12,19,2.64,23,162,OK712162,No,Yes,2.0861,297,TX253297,Yes,No,3.8192
314,05/15/21,37.127,3.8192,193,DM481414,48,14,14,2.56,23,143,TX253143,No,Yes,1.9005,297,TX253297,Yes,No,3.8192
315,10/13/21,18.707,2.68,156,KQ264020,26,40,20,2.92,23,189,OK712189,No,No,2.68,245,TX253245,Yes,No,2.5591
316,11/21/21,42.387,2.5591,100,BQ261014,26,10,14,2.64,30,120,TX253120,No,No,2.0283,245,TX253245,Yes,No,2.5591
317,09/14/21,39.147,2.5591,163,DA251912,25,19,12,2.36,24,172,TX253172,No,Yes,2.4496,245,TX253245,Yes,No,2.5591
318,12/19/21,34.478,2.5591,166,GD341420,34,14,20,2.82,26,169,NM418169,Yes,No,1.9873,245,TX253245,Yes,No,2.5591
319,03/22/21,12.56,2.5591,126,KH102813,10,28,13,1.21,24,108,OK712108,Yes,Yes,1.4731,245,TX253245,Yes,No,2.5591
320,07/31/21,22.838,2.5591,117,DX301310,30,13,10,3.91,21,102,OK712102,No,Yes,1.8185,245,TX253245,Yes,No,2.5591
321,10/22/21,22.627,2.5591,102,DG282516,28,25,16,2.79,30,129,TX253129,No,Yes,1.8218,245,TX253245,Yes,No,2.5591
322,01/09/21,21.606,2.5591,107,GJ331220,33,12,20,3.09,27,137,OK712137,Yes,Yes,2.0729,245,TX253245,Yes,No,2.5591
323,03/03/21,20.454,2.5591,165,FD311219,31,12,19,2.64,23,155,OK712155,No,Yes,1.622,245,TX253245,Yes,No,2.5591
324,08/17/21,45.3,2.5591,103,DA251912,25,19,12,2.36,24,123,TX253123,No,No,1.4704,245,TX253245,Yes,No,2.5591
325,11/09/21,28.88,2.5591,132,KH102813,10,28,13,1.21,24,104,OK712104,Yes,Yes,1.7396,245,TX253245,Yes,No,2.5591
326,06/11/21,32.547,2.5591,128,DX301310,30,13,10,3.91,21,171,OK712171,Yes,No,2.4622,245,TX253245,Yes,No,2.5591
327,06/17/21,8.76,2.5591,149,DM481414,48,14,14,2.56,23,151,TX253151,No,Yes,1.9154,245,TX253245,Yes,No,2.5591
328,02/23/21,50.929,3.7553,172,KQ264020,26,40,20,2.92,23,189,OK712189,No,No,2.68,289,OK712289,Yes,Yes,3.7553
329,05/18/21,6.8,3.7553,115,BQ261014,26,10,14,2.64,30,182,OK712182,No,Yes,2.5084,289,OK712289,Yes,Yes,3.7553
330,08/06/21,22.743,3.7553,187,MA101120,10,11,20,2.15,22,195,TX253195,Yes,Yes,2.6522,289,OK712289,Yes,Yes,3.7553
331,08/17/21,7.237,3.7553,111,GJ331220,33,12,20,3.09,27,115,TX253115,No,No,1.162,289,OK712289,Yes,Yes,3.7553
332,05/09/21,45.176,3.7553,149,DM481414,48,14,14,2.56,23,115,TX253115,No,No,1.162,289,OK712289,why,Yes,3.7553
333,06/14/21,23.681,3.7553,91,MA101120,10,11,20,2.15,22,153,NM418153,No,No,1.8533,289,OK712289,Yes,Yes,3.7553
334,07/08/21,40.225,3.7553,101,DM481414,48,14,14,2.56,23,153,NM418153,No,No,1.8533,289,OK712289,Yes,Yes,3.7553
335,01/07/21,5.36,3.7553,141,EC423810,42,38,10,3.69,21,135,TX253135,Yes,Yes,1.4387,289,OK712289,Yes,Yes,3.7553
336,10/07/21,41.326,3.7553,141,KH102813,10,28,13,1.21,24,184,TX253184,No,Yes,2.0025,289,OK712289,Yes,Yes,3.7553
337,10/12/21,6.949,3.7553,121,DX301310,30,13,10,3.91,21,166,NM418166,Yes,Yes,1.7288,289,OK712289,Yes,Yes,3.7553
338,06/09/21,45.63,3.0751,121,KQ264020,26,40,20,2.92,23,189,OK712189,No,No,2.68,263,OK712263,No,No,3.0751
339,05/16/21,40.316,3.0751,172,EC423810,42,38,10,3.69,21,152,TX253152,Yes,Yes,1.5865,263,OK712263,No,No,3.0751
340,02/21/21,19.561,3.0751,162,KH102813,10,28,13,1.21,24,120,TX253120,No,No,2.0283,263,OK712263,No,No,3.0751
341,11/08/21,48.405,3.0751,181,FD311219,31,12,19,2.64,23,108,OK712108,Yes,Yes,1.4731,263,OK712263,No,No,3.0751
342,01/02/21,34.695,3.0751,104,EC423810,42,38,10,3.69,21,144,TX253144,Yes,Yes,2.4187,263,OK712263,No,No,3.0751
343,05/31/21,18.827,3.0751,152,DG282516,28,25,16,2.79,30,148,OK712148,Yes,No,2.36,263,OK712263,No,No,3.0751
344,06/17/21,50.881,3.0751,170,NC103116,10,31,16,2.31,30,200,TX253200,No,Yes,2.9858,263,OK712263,No,No,3.0751
345,03/14/21,33.861,3.0751,91,BQ261014,26,10,14,2.64,30,191,TX253191,Yes,Yes,2.3817,263,OK712263,No,No,3.0751
346,03/24/21,20.22,3.0751,189,NC103116,10,31,16,2.31,30,126,NM418126,No,Yes,1.4989,263,OK712263,No,No,3.0751
347,02/05/21,15.772,3.0751,182,GJ331220,33,12,20,3.09,27,159,OK712159,Yes,No,2.3619,263,OK712263,No,No,3.0751
348,01/20/21,47.708,3.0751,155,DX301310,30,13,10,3.91,21,137,OK712137,Yes,Yes,2.0729,263,OK712263,No,No,3.0751
349,07/16/21,35.223,3.0751,167,BQ261014,26,10,14,2.64,30,100,OK712100,Yes,Yes,1.0142,263,OK712263,No,No,3.0751
350,07/22/21,29.344,3.0751,182,KQ264020,26,40,20,2.92,23,180,NM418180,Yes,Yes,2.5014,263,OK712263,No,No,3.0751
351,06/04/21,50.018,3.0751,144,EC423810,42,38,10,3.69,21,145,OK712145,No,No,1.8777,263,OK712263,No,No,3.0751
352,11/04/21,50.291,3.7656,195,KQ264020,26,40,20,2.92,23,189,OK712189,No,No,2.68,300,TX253300,Yes,No,3.7656
353,03/22/21,50.281,3.7656,100,GD341420,34,14,20,2.82,26,103,NM418103,Yes,Yes,1.0743,300,TX253300,Yes,No,3.7656
354,10/10/21,6.064,3.7656,168,QH401919,40,19,19,2.39,26,117,NM418117,Yes,No,1.9876,300,TX253300,Yes,No,3.7656
355,11/19/21,26.456,3.7656,90,DX301310,30,13,10,3.91,21,108,OK712108,Yes,Yes,1.4731,300,TX253300,Yes,No,3.7656
356,12/04/21,19.685,3.7656,119,DG282516,28,25,16,2.79,30,129,TX253129,No,Yes,1.8218,300,TX253300,Yes,No,3.7656
357,02/13/21,6.498,3.7656,145,DX301310,30,13,10,3.91,21,196,NM418196,Yes,No,2.6256,300,TX253300,Yes,lol,3.7656
358,02/15/21,27.806,3.7656,193,BQ261014,26,10,14,2.64,30,114,OK712114,Yes,No,1.9911,300,TX253300,Yes,No,3.7656
359,01/07/21,32.497,3.7656,156,MA101120,10,11,20,2.15,22,146,NM418146,Yes,No,1.74,300,TX253300,Yes,No,3.7656
360,10/01/21,12.505,3.7656,132,DG282516,28,25,16,2.79,30,198,NM418198,Yes,No,2.0457,300,TX253300,Yes,No,3.7656
361,04/15/21,20.412,3.7656,134,FD311219,31,12,19,2.64,23,198,NM418198,Yes,No,2.0457,300,TX253300,Yes,No,3.7656
362,08/10/21,8.217,3.7656,159,NC103116,10,31,16,2.31,30,135,TX253135,Yes,Yes,1.4387,300,TX253300,Yes,No,3.7656
363,06/23/21,24.337,3.7656,106,DM481414,48,14,14,2.56,23,143,TX253143,No,Yes,1.9005,300,TX253300,Yes,No,3.7656
364,07/13/21,9.874,3.7656,194,DX301310,30,13,10,3.91,21,184,TX253184,No,Yes,2.0025,300,TX253300,Yes,No,3.7656
365,03/16/21,35.377,3.7656,179,DG282516,28,25,16,2.79,30,167,NM418167,Yes,Yes,2.5544,300,TX253300,Yes,No,3.7656
366,12/07/21,35.807,3.7656,164,EC423810,42,38,10,3.69,21,178,NM418178,Yes,Yes,2.3579,300,TX253300,Yes,No,3.7656
367,10/03/21,44.503,3.7656,130,BQ261014,26,10,14,2.64,30,138,TX253138,Yes,No,2.1131,300,TX253300,Yes,No,3.7656
368,01/02/21,15.457,3.7656,141,BQ261014,26,10,14,2.64,30,180,NM418180,Yes,Yes,2.5014,300,TX253300,Yes,No,3.7656
369,05/24/21,37.867,3.7656,159,KH102813,10,28,13,1.21,24,158,NM418158,No,Yes,1.8597,300,TX253300,Yes,No,3.7656
370,04/07/21,40.731,3.6524,156,QH401919,40,19,19,2.39,26,111,NM418111,No,Yes,1.6539,298,NM418298,Yes,No,3.6524
371,08/16/21,12.446,3.6524,117,DM481414,48,14,14,2.56,23,111,NM418111,No,Yes,1.6539,298,NM418298,Yes,No,3.6524
372,01/11/21,22.458,3.6524,169,NC103116,10,31,16,2.31,30,111,NM418111,No,Yes,1.6539,298,NM418298,Yes,No,3.6524
373,05/17/21,33.558,3.6524,135,DG282516,28,25,16,2.79,30,116,NM418116,Yes,Yes,1.9501,298,NM418298,Yes,No,3.6524
374,09/09/21,7.3,3.6524,186,BQ261014,26,10,14,2.64,30,101,TX253101,Yes,No,1.1412,298,NM418298,Yes,No,3.6524
375,12/04/21,7.593,3.6524,145,BQ261014,26,10,14,2.64,30,153,NM418153,No,No,1.8533,298,NM418298,kek,No,3.6524
376,08/08/21,13.465,3.6524,120,FD311219,31,12,19,2.64,23,135,TX253135,Yes,Yes,1.4387,298,NM418298,Yes,No,3.6524
377,02/06/21,37.572,3.6524,173,NC103116,10,31,16,2.31,30,135,TX253135,Yes,Yes,1.4387,298,NM418298,Yes,No,3.6524
378,06/23/21,21.562,3.6524,138,DA251912,25,19,12,2.36,24,113,TX253113,Yes,No,2.0506,298,NM418298,Yes,No,3.6524
379,03/23/21,47.667,3.6524,153,KH102813,10,28,13,1.21,24,104,OK712104,Yes,Yes,1.7396,298,NM418298,Yes,No,3.6524
380,10/04/21,25.727,3.6524,137,EC423810,42,38,10,3.69,21,171,OK712171,Yes,No,2.4622,298,NM418298,Yes,No,3.6524
381,08/18/21,25.568,3.6524,166,GJ331220,33,12,20,3.09,27,142,NM418142,Yes,Yes,2.0827,298,NM418298,Yes,No,3.6524
382,03/06/21,30.059,2.6069,109,GD341420,34,14,20,2.82,26,111,NM418111,No,Yes,1.6539,257,TX253257,Yes,Yes,2.6069
383,05/07/21,19.975,2.6069,151,GD341420,34,14,20,2.82,26,163,NM418163,No,Yes,2.0233,257,TX253257,Yes,Yes,2.6069
